,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
81,242,90,136,243,81,203,221,132,66,59,103,221,248,21,163,159
82,217,100,227,117,114,207,149,88,38,48,162,226,233,188,128,111
83,236,210,45,157,252,111,86,20,250,78,213,25,14,100,61,148
84,14,226,131,36,89,213,129,204,101,49,114,61,128,170,193,228
85,174,45,129,246,89,184,134,188,113,102,190,5,239,105,135,195
86,34,129,111,42,230,148,91,56,74,148,149,88,30,150,195,191
87,179,45,131,67,107,134,11,125,253,196,56,76,236,78,254,120
88,251,60,83,226,59,240,66,150,231,0,104,39,31,135,63,85
89,192,136,20,219,22,54,183,165,48,191,163,104,41,235,255,58
90,194,127,62,127,90,212,127,232,144,16,249,4,192,239,181,135
91,151,240,42,13,63,164,164,216,244,223,181,127,157,92,208,58
92,124,38,102,80,8,224,119,12,194,10,81,100,243,126,44,75
93,117,13,17,153,148,101,239,209,124,120,96,183,192,220,91,127
94,242,7,131,48,141,242,20,58,148,74,30,77,29,101,118,242
95,132,7,211,151,227,199,175,168,96,2,112,230,68,62,202,180
96,34,108,69,9,184,143,127,251,50,239,225,12,230,147,198,168
97,96,230,11,230,69,92,171,244,228,138,116,216,58,32,159,178
98,145,11,60,87,251,177,35,24,181,74,104,87,170,176,50,169
99,127,232,196,96,134,36,242,173,235,122,55,120,237,46,131,193
100,217,59,210,45,117,55,171,34,114,102,118,250,43,155,96,102
101,192,169,207,139,251,37,234,138,195,100,0,159,228,29,204,194
102,124,23,45,174,10,105,1,44,244,18,227,74,60,174,243,88
103,9,35,42,58,17,144,101,115,252,114,43,204,68,215,87,22
104,85,18,25,152,184,136,61,213,77,205,180,225,219,172,189,50
105,143,246,185,186,116,180,112,240,34,19,231,167,214,78,120,47
106,71,222,251,75,178,111,114,128,135,32,145,241,12,122,98,196
107,228,232,186,188,176,233,242,60,30,235,169,52,62,227,108,65
108,210,155,95,116,213,8,186,24,126,164,112,106,231,140,216,121
109,235,255,151,221,48,19,19,170,97,165,99,123,150,12,175,235
110,163,171,19,36,233,182,86,228,122,133,0,182,224,27,160,140
111,93,12,91,113,137,214,59,83,136,98,233,79,51,74,59,138
112,149,153,133,57,86,245,112,71,236,50,36,109,39,41,192,108
113,19,172,18,207,182,17,113,203,178,9,188,117,147,185,82,111
114,176,26,2,3,188,17,63,172,161,82,77,117,11,242,33,220
115,244,0,186,213,40,159,118,205,57,13,123,3,184,18,125,246
116,181,128,249,104,104,60,252,51,148,163,250,159,61,252,33,115
117,38,133,205,143,183,29,20,208,41,239,144,90,75,173,6,100
118,190,186,105,22,154,186,99,8,12,19,8,233,171,46,23,28
119,215,124,30,55,152,77,149,167,34,78,243,176,217,150,201,97
120,140,7,222,141,150,79,21,104,174,244,179,61,53,133,244,223
121,181,179,30,32,252,80,173,34,88,49,166,143,44,231,202,108
122,206,174,135,73,97,152,205,200,239,156,72,156,128,19,153,15
123,110,109,177,207,221,231,22,183,157,141,113,137,65,205,113,175
124,208,89,117,222,36,47,58,49,93,23,123,208,23,25,152,93
125,147,203,47,1,216,28,147,9,25,243,113,251,64,106,202,220
126,119,109,86,178,164,107,198,243,140,199,53,170,163,178,14,177
127,188,126,196,53,141,2,159,111,100,36,194,55,131,189,118,50
128,249,36,139,107,98,51,188,56,242,85,18,140,134,31,107,218
129,58,107,176,98,175,158,123,63,241,65,110,110,67,171,145,205
130,43,54,116,137,223,69,101,179,230,188,141,225,155,38,101,236
131,38,39,198,111,72,110,83,223,16,248,46,38,10,188,147,183
132,105,75,156,30,51,167,105,162,139,106,49,147,247,190,186,86
133,194,218,32,8,54,230,132,105,46,245,171,204,160,87,198,149
134,193,52,204,68,135,199,213,224,221,222,218,139,218,210,51,9
135,113,79,27,166,205,38,88,109,252,51,140,133,115,243,35,115
136,115,38,6,193,140,54,48,55,233,106,206,128,180,225,57,146
137,220,95,18,39,84,160,76,143,207,39,71,94,246,114,63,202
138,224,162,254,52,139,58,104,193,229,85,124,178,187,16,161,255
139,80,233,162,115,114,95,228,120,230,223,85,52,195,108,76,137
140,129,236,109,178,107,190,204,232,140,65,166,162,245,222,200,31
141,147,131,81,202,88,202,128,207,242,134,8,194,86,49,92,15
142,229,148,159,141,69,100,64,98,133,45,234,223,232,202,66,9
143,156,217,78,199,33,58,170,173,221,214,8,19,192,161,247,64
144,148,190,167,218,164,208,87,239,113,16,248,7,142,241,194,8
145,128,91,193,208,102,89,162,212,234,240,203,67,117,67,67,248
146,34,73,175,56,81,85,72,104,6,172,112,116,230,65,59,201
147,73,152,183,10,86,119,98,132,117,142,77,64,169,53,92,1
148,220,92,120,13,148,44,254,19,62,233,177,124,126,208,185,149
149,155,252,162,208,249,85,157,65,84,9,96,205,243,76,191,22
150,12,112,93,226,85,237,238,253,111,98,100,39,148,60,191,195
151,87,194,154,16,252,136,47,28,29,224,233,159,175,198,177,96
152,213,190,74,243,180,109,148,177,35,187,59,115,187,38,196,165
153,82,89,29,2,35,152,71,37,171,219,164,56,141,100,178,185
154,182,156,209,76,44,160,109,129,218,68,229,154,239,176,179,47
155,112,238,12,102,243,213,96,158,159,40,123,83,75,29,67,228
156,186,173,8,230,205,228,66,183,177,255,147,12,46,162,81,164
157,20,94,10,213,63,82,90,158,155,13,210,124,99,177,130,47
158,110,180,235,88,60,227,120,182,233,145,137,157,84,4,186,228
159,59,154,34,30,96,141,26,183,13,70,229,203,162,77,85,166
160,193,187,132,111,62,16,233,76,87,3,74,120,237,168,89,232
161,87,240,0,67,131,207,129,17,32,77,216,232,58,132,172,40
162,27,79,2,93,85,106,156,92,196,144,190,171,96,241,8,141
163,96,130,35,9,85,115,32,111,189,41,222,77,222,116,45,227
164,212,222,109,44,74,175,178,35,209,231,109,162,151,63,236,232
165,224,10,154,18,30,126,75,210,37,120,117,119,234,148,85,4
166,155,14,121,15,224,250,65,34,74,159,238,229,59,149,81,33
167,249,219,189,84,143,183,155,8,141,117,98,208,92,212,218,111
168,123,16,209,47,45,249,223,55,202,124,183,97,219,112,242,146
169,113,137,76,220,73,128,143,164,173,107,182,2,245,223,133,233
170,122,240,119,101,35,39,222,200,115,17,87,87,180,187,89,229
171,84,254,163,34,52,170,184,255,45,213,56,13,231,115,194,234
172,121,127,35,255,39,60,177,76,12,99,134,185,91,0,243,232
173,75,44,157,84,249,226,1,164,86,12,150,198,54,129,39,73
174,91,232,41,107,11,242,106,161,185,131,18,52,137,150,17,16
175,171,6,18,7,108,16,38,164,169,26,179,226,109,56,83,214
176,207,147,137,246,117,97,159,96,166,30,125,9,94,60,169,140
177,251,167,56,226,238,90,237,127,124,71,107,68,12,82,47,121
178,151,242,170,62,199,83,228,133,172,102,72,83,237,112,163,216
179,35,198,141,107,187,241,7,220,60,20,196,235,128,204,81,104
180,2,200,199,0,163,209,66,230,202,118,150,120,108,84,236,241
181,118,183,88,137,6,243,251,37,2,20,55,15,206,215,176,166
182,240,213,67,146,31,186,42,136,225,56,10,235,70,198,147,96
183,196,155,26,217,116,112,252,100,176,156,97,16,125,211,155,134
184,116,85,67,254,224,245,233,213,40,61,51,55,217,54,68,29
185,120,190,34,41,25,26,204,214,39,151,156,84,74,248,215,20
186,60,66,140,140,131,170,51,70,235,215,81,206,164,26,76,50
187,54,56,113,46,160,94,7,169,215,154,105,93,163,35,210,250
188,13,25,5,11,107,113,187,165,57,95,115,154,18,79,120,200
189,225,216,56,169,134,153,240,46,197,137,195,184,117,243,59,1
190,251,177,105,170,3,8,63,22,201,235,178,149,41,210,203,192
191,197,214,219,103,247,151,64,74,216,245,225,128,94,52,84,101
192,232,186,251,221,67,69,129,209,249,54,80,101,245,65,79,193
193,66,176,168,60,172,132,88,75,167,187,223,28,134,118,105,241
194,140,181,109,26,170,64,153,87,21,225,138,124,178,157,133,73
195,100,86,219,15,153,69,247,40,83,87,147,70,151,162,116,241
196,18,182,135,250,197,157,68,203,109,143,149,96,84,34,26,70
197,200,100,95,163,211,44,247,55,206,104,90,74,135,9,95,226
198,219,223,75,43,102,36,106,83,125,30,167,223,240,225,32,165
199,199,18,213,149,19,108,191,234,181,164,16,248,213,96,90,22
