,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
31,144,158,115,106,212,185,35,169,81,2,213,93,164,109,46,80
32,27,72,28,130,227,141,169,121,36,228,168,18,225,166,63,243
33,46,104,217,231,112,255,101,2,98,28,206,203,186,170,26,232
34,149,58,127,144,220,37,233,237,232,234,11,150,6,96,142,100
35,87,203,163,191,123,32,110,91,177,230,122,128,150,97,198,164
36,146,27,156,229,52,102,242,222,121,50,46,7,213,16,231,157
37,139,189,251,250,14,104,30,136,168,176,158,151,194,220,192,231
38,140,145,250,161,10,28,233,203,133,81,133,121,42,86,180,57
39,56,78,87,250,117,209,138,200,48,245,19,140,153,77,16,4
40,216,118,155,178,68,131,186,12,130,76,96,96,61,143,100,250
41,74,140,146,158,187,133,144,95,96,188,171,236,31,235,99,44
42,24,190,79,21,147,77,33,4,39,124,67,162,162,42,78,210
43,102,38,122,176,122,209,254,5,250,230,219,245,136,40,197,5
44,7,206,37,105,78,33,27,179,77,30,171,174,9,67,3,195
45,54,97,191,227,80,28,165,192,165,221,146,78,103,198,220,52
46,138,160,46,63,123,221,146,164,157,248,39,28,54,29,183,103
47,90,155,188,106,140,145,71,91,135,124,211,184,51,160,204,62
48,102,179,96,30,150,5,219,95,105,150,204,116,109,22,230,146
49,221,29,18,52,122,31,49,226,211,121,221,173,235,179,86,15
50,199,176,156,211,27,253,43,147,79,70,88,250,214,11,229,193
51,93,15,179,226,86,45,115,191,170,150,109,103,210,168,172,144
52,17,107,88,230,128,240,97,82,119,199,244,14,164,26,160,129
53,176,88,245,22,34,94,21,196,195,176,118,146,97,139,139,121
54,180,76,68,173,192,89,40,7,7,246,33,58,7,162,132,133
55,189,118,103,178,76,173,254,96,149,114,125,92,71,220,239,153
56,233,247,97,1,13,116,38,213,155,166,212,161,1,254,159,245
57,113,114,38,28,203,114,99,31,179,66,67,160,74,160,225,5
58,0,165,110,72,171,108,24,144,125,96,224,41,152,21,249,155
59,46,35,62,68,62,125,32,249,45,88,102,115,170,57,153,32
60,104,33,246,134,193,51,31,135,251,141,127,131,156,143,29,66
61,239,61,211,96,58,210,232,250,162,30,185,96,177,252,46,83
62,41,20,248,40,120,254,110,178,248,246,132,9,124,128,218,149
63,251,74,149,246,161,119,166,37,43,103,33,95,169,199,69,198
64,23,214,106,39,31,37,38,184,87,156,164,66,10,212,128,16
65,30,131,252,206,108,187,53,121,240,243,118,197,49,202,107,174
66,155,161,72,68,39,160,239,97,135,33,190,14,77,171,61,85
67,36,12,250,181,118,26,82,229,250,127,227,12,233,99,25,229
68,129,236,169,107,55,55,192,143,220,40,60,70,177,178,160,218
69,20,52,38,193,208,185,52,89,19,222,64,255,42,47,149,97
70,1,89,38,250,140,112,18,205,205,216,236,218,211,39,98,127
71,15,37,230,224,164,98,127,243,238,1,32,158,229,7,112,50
72,178,250,160,43,169,197,1,97,118,179,30,82,177,81,210,223
73,199,253,149,18,174,172,219,137,132,77,255,63,151,95,243,187
74,229,125,64,210,159,129,84,206,233,68,54,25,211,155,250,56
75,92,8,183,109,76,174,177,11,136,189,74,151,88,217,210,210
76,5,111,170,46,21,179,117,73,170,141,146,151,45,223,125,52
77,161,182,142,185,111,189,168,241,72,193,22,2,214,1,72,51
78,199,112,215,77,62,48,0,42,39,3,185,43,53,171,202,98
79,245,97,75,187,66,74,91,5,26,195,31,11,131,182,129,13
80,59,124,184,209,136,38,132,70,76,73,5,207,84,187,31,218
81,7,235,66,160,174,203,82,44,64,37,175,201,218,84,15,193
82,52,197,194,89,28,19,235,17,5,237,207,138,254,157,145,209
83,174,7,17,242,86,61,64,7,29,183,28,116,227,43,226,55
84,232,5,50,92,191,180,105,162,226,211,77,165,217,182,4,43
85,139,29,76,217,160,178,232,179,170,151,115,125,89,43,254,114
86,115,104,88,95,28,64,114,214,254,58,88,127,51,150,10,107
87,31,244,9,103,134,158,67,146,140,73,74,91,193,213,53,170
88,134,137,164,246,215,187,8,181,215,18,106,21,67,253,14,20
89,235,124,213,9,42,194,20,107,144,58,77,42,35,75,156,234
90,85,34,172,234,246,220,210,136,30,64,205,18,166,244,139,184
91,180,211,76,196,237,25,232,99,69,31,59,62,29,66,123,32
92,71,249,188,252,93,200,155,97,221,68,38,60,97,246,9,67
93,78,63,20,163,183,243,156,173,92,184,122,51,4,207,203,31
94,228,76,180,250,38,83,208,111,228,74,70,154,228,185,30,99
95,192,38,146,223,41,242,95,57,176,170,113,242,180,150,64,198
96,189,188,109,96,155,0,154,50,246,20,250,26,193,101,205,232
97,18,188,253,210,230,59,117,113,62,242,247,166,151,68,197,189
98,87,194,19,247,164,17,149,205,106,120,243,154,241,160,8,136
99,148,238,68,82,54,248,213,127,231,221,247,202,89,23,94,218
100,13,254,139,170,138,216,24,47,249,196,171,219,121,141,6,2
101,67,93,234,132,156,35,229,210,102,205,174,78,105,134,219,80
102,148,151,63,227,199,6,21,192,50,90,9,105,92,195,242,85
103,239,33,199,121,136,231,51,33,231,126,99,189,7,253,59,169
104,27,51,40,122,199,100,45,94,137,239,216,46,121,58,21,182
105,0,147,147,85,27,97,232,238,234,149,94,239,146,195,250,35
106,95,29,103,22,184,247,10,42,72,31,140,82,135,215,136,61
107,23,238,34,222,251,131,55,240,106,196,240,15,24,222,62,106
108,121,26,244,98,237,47,215,232,163,244,144,215,239,218,206,87
109,185,24,183,49,52,24,143,195,73,174,148,66,222,12,153,128
110,97,226,205,139,90,24,243,54,107,252,105,175,205,119,40,187
111,223,230,249,79,89,233,31,238,56,242,33,166,220,235,148,142
112,9,234,67,81,79,131,175,198,254,170,133,148,185,187,182,205
113,24,58,238,79,164,208,186,51,63,201,83,216,210,120,55,244
114,206,198,116,27,23,181,69,196,23,174,39,66,77,106,154,24
115,127,145,87,1,173,186,149,239,17,184,33,171,75,226,2,96
116,90,83,154,154,115,180,55,7,190,227,159,79,220,204,174,87
117,198,69,55,92,98,215,213,74,143,117,142,56,215,1,212,203
118,76,239,218,146,62,173,65,52,28,87,38,148,97,179,110,59
119,94,192,14,225,52,44,16,192,109,109,251,158,210,228,10,45
120,216,78,103,99,59,97,170,192,5,90,76,55,241,42,20,238
121,88,196,18,92,177,211,143,17,189,135,124,231,192,55,130,218
122,243,132,16,205,68,30,52,212,164,98,187,242,228,31,108,163
123,160,50,51,5,33,128,9,31,163,88,188,38,139,44,171,7
124,190,112,184,96,93,180,104,152,43,179,10,94,49,18,124,138
125,61,167,134,135,207,140,115,128,3,51,143,195,81,59,66,143
126,61,192,19,172,87,61,21,120,128,63,94,212,129,237,84,234
127,188,204,22,142,152,174,236,235,104,32,208,198,54,152,205,255
128,217,163,57,159,250,39,14,113,221,176,110,13,19,143,97,169
129,163,25,125,179,34,150,33,119,99,61,206,135,160,131,67,223
130,120,185,96,174,217,149,92,255,99,100,84,58,64,40,78,78
131,104,62,190,47,27,199,248,170,14,93,179,146,206,10,163,177
132,221,79,249,217,132,5,233,100,232,214,157,251,181,208,72,29
133,38,102,78,248,54,42,228,64,68,44,101,84,73,178,80,178
134,35,230,200,143,39,130,113,163,97,79,15,143,222,66,162,211
135,121,221,18,230,74,124,146,153,145,49,37,20,40,52,238,151
136,18,79,179,160,37,30,40,178,201,68,254,80,143,63,192,115
137,219,20,105,182,151,6,24,0,248,254,176,245,242,208,156,216
138,246,129,201,21,0,76,160,168,81,83,30,87,181,33,210,238
139,22,131,34,49,88,198,165,250,249,161,140,37,79,193,250,6
140,207,92,3,252,32,85,172,157,46,247,195,66,28,124,185,84
141,43,222,93,20,180,159,25,249,233,63,180,59,238,248,17,125
142,150,182,13,30,151,50,100,149,71,3,151,12,113,205,246,7
143,233,52,30,154,8,103,124,96,84,209,73,167,56,188,118,253
144,25,65,223,248,227,116,107,155,103,242,146,86,129,162,130,145
145,213,11,221,53,59,210,11,107,211,131,83,0,221,85,179,91
146,241,160,254,214,84,227,209,122,133,139,69,9,174,74,221,160
147,166,42,63,151,250,168,63,63,159,18,168,5,112,220,207,104
148,234,82,202,168,153,196,177,82,113,214,46,13,21,80,246,209
149,94,112,49,51,142,158,10,213,4,135,182,59,212,98,41,35
150,114,184,126,141,250,11,180,109,66,149,81,122,94,126,162,189
151,219,85,243,60,227,243,220,98,91,202,136,203,209,155,153,214
152,164,142,131,92,84,200,43,227,8,183,145,243,110,60,116,160
153,98,83,155,223,180,50,80,219,234,124,110,207,26,37,152,119
154,184,168,180,166,147,44,148,63,149,65,196,220,117,146,68,144
155,125,78,59,184,44,163,39,254,238,61,32,67,53,190,75,245
156,136,34,33,238,220,25,67,1,226,136,239,89,27,254,121,157
157,217,252,77,10,189,144,79,202,76,225,128,158,3,209,192,38
158,122,67,251,158,21,26,95,10,69,161,36,137,116,238,128,231
159,55,235,109,69,10,244,3,39,205,37,144,25,235,123,46,135
160,171,128,184,142,55,55,180,206,225,238,53,188,252,0,142,254
161,60,66,99,95,39,71,7,144,194,189,69,230,178,58,115,207
162,142,104,77,140,229,11,79,223,110,241,162,6,106,197,250,213
163,107,172,198,72,140,110,174,82,7,157,188,82,73,46,214,212
164,97,175,119,88,201,204,215,249,45,164,126,215,167,37,134,43
165,186,118,1,83,157,122,48,183,45,8,34,29,0,207,19,4
166,71,246,129,136,154,40,89,32,70,96,7,244,38,209,251,157
167,242,230,3,202,178,91,144,245,177,121,107,110,42,70,8,159
168,25,162,118,249,182,225,224,108,70,5,191,116,101,94,24,174
169,20,22,128,197,22,155,231,229,25,112,228,64,45,38,185,52
170,52,32,197,207,133,161,192,181,53,181,140,254,80,118,96,33
171,51,183,118,208,54,105,12,85,10,81,251,78,199,254,84,29
172,12,63,135,70,82,63,254,64,234,172,69,116,203,239,88,125
173,162,14,187,102,216,234,33,24,251,3,41,158,103,150,181,102
174,105,96,91,91,82,225,118,164,108,6,115,166,237,240,226,159
175,62,121,47,190,34,71,42,148,113,90,178,22,2,191,105,128
176,92,103,5,200,180,9,94,97,11,98,40,219,76,87,235,189
177,104,130,150,82,221,233,226,47,29,122,95,226,80,119,127,113
178,127,129,75,1,180,220,113,64,203,229,206,107,190,76,48,36
179,49,14,73,149,115,160,71,128,174,24,80,165,144,180,68,92
180,218,102,7,188,9,162,63,66,253,68,121,141,194,219,99,128
181,34,198,16,165,17,166,127,82,14,165,190,128,251,233,161,177
182,205,99,159,185,186,124,201,76,28,204,53,186,159,222,13,233
183,38,91,87,237,123,59,118,247,174,62,214,189,39,71,130,187
184,25,185,32,125,158,180,116,91,169,206,185,116,173,241,85,25
185,73,202,134,2,30,77,206,91,96,42,18,211,217,216,184,170
186,132,139,24,242,150,116,134,132,207,156,53,158,103,112,238,21
187,155,133,163,200,82,238,48,236,229,179,252,94,24,204,106,168
188,235,213,156,168,175,151,156,252,212,89,165,5,240,23,113,196
189,148,141,184,29,114,156,242,219,182,156,191,231,209,60,197,211
190,200,79,100,176,52,92,92,96,106,229,57,222,39,90,78,61
191,106,238,57,133,204,153,207,255,122,93,37,172,188,143,92,41
192,63,7,130,174,75,180,66,153,228,240,239,165,131,25,119,84
193,118,192,128,52,81,174,227,212,145,54,127,163,78,60,178,100
194,174,114,106,230,151,193,0,32,140,104,90,75,101,114,25,183
195,69,5,14,215,2,91,64,248,227,226,87,186,24,115,173,14
196,77,245,240,214,32,91,200,241,105,166,211,148,152,199,155,165
197,233,223,101,210,16,54,224,246,52,245,201,5,110,66,254,208
198,230,249,222,109,178,112,2,89,32,135,217,85,164,66,249,73
199,11,163,170,167,52,115,221,212,251,148,201,135,180,238,197,185
